order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
e481f51cbdc54678b7cc49136f2d6af7,69,delivered,10/2/2017 10:56,10/2/2017 11:07,10/4/2017 19:55,10/10/2017 21:25,10/18/2017 0:00
53cdb2fc8bc7dce0b6741e2150273451,17,delivered,7/24/2018 20:41,7/26/2018 3:24,7/26/2018 14:31,8/7/2018 15:27,8/13/2018 0:00
47770eb9100c2d0c44946d9cf07ec65d,26,delivered,8/8/2018 8:38,8/8/2018 8:55,8/8/2018 13:50,8/17/2018 18:06,9/4/2018 0:00
949d5b44dbf5de918fe9c16f97b45f8a,35,delivered,11/18/2017 19:28,11/18/2017 19:45,11/22/2017 13:39,12/2/2017 0:28,12/15/2017 0:00
ad21c59c0840e6cb83a9ceb5573f8159,23,delivered,2/13/2018 21:18,2/13/2018 22:20,2/14/2018 19:46,2/16/2018 18:17,2/26/2018 0:00
a4591c265e18cb1dcee52889e2d8acc3,82,delivered,7/9/2017 21:57,7/9/2017 22:10,7/11/2017 14:58,7/26/2017 10:57,8/1/2017 0:00
136cce7faa42fdb2cefd53fdc79a6098,44,invoiced,4/11/2017 12:22,4/13/2017 13:25,,,5/9/2017 0:00
6514b8ad8028c9f2cc2374ded245783f,47,delivered,5/16/2017 13:10,5/16/2017 13:22,5/22/2017 10:07,5/26/2017 12:55,6/7/2017 0:00
76c6e866289321a7c93b82b54852dc33,99,delivered,1/23/2017 18:29,1/25/2017 2:50,1/26/2017 14:16,2/2/2017 14:08,3/6/2017 0:00
e69bfb5eb88e0ed6a785585b27e16dbf,57,delivered,7/29/2017 11:55,7/29/2017 12:05,8/10/2017 19:45,8/16/2017 17:14,8/23/2017 0:00
e6ce16cb79ec1d90b1da9085a6118aeb,46,delivered,5/16/2017 19:41,5/16/2017 19:50,5/18/2017 11:40,5/29/2017 11:18,6/7/2017 0:00
34513ce0c4fab462a55830c0989c7edb,26,delivered,7/13/2017 19:58,7/13/2017 20:10,7/14/2017 18:43,7/19/2017 14:04,8/8/2017 0:00
82566a660a982b15fb86e904c8d32918,82,delivered,6/7/2018 10:06,6/9/2018 3:13,6/11/2018 13:29,6/19/2018 12:05,7/18/2018 0:00
5ff96c15d0b717ac6ad1f3d77225a350,14,delivered,7/25/2018 17:44,7/25/2018 17:55,7/26/2018 13:16,7/30/2018 15:52,8/8/2018 0:00
432aaf21d85167c2c86ec9448c4e42cc,14,delivered,3/1/2018 14:14,3/1/2018 15:10,3/2/2018 21:09,3/12/2018 23:36,3/21/2018 0:00
dcb36b511fcac050b97cd5c05de84dc3,86,delivered,6/7/2018 19:03,6/12/2018 23:31,6/11/2018 14:54,6/21/2018 15:34,7/4/2018 0:00
403b97836b0c04a622354cf531062e5f,47,delivered,1/2/2018 19:00,1/2/2018 19:09,1/3/2018 18:19,1/20/2018 1:38,2/6/2018 0:00
116f0b09343b49556bbad5f35bee0cdf,99,delivered,12/26/2017 23:41,12/26/2017 23:50,12/28/2017 18:33,1/8/2018 22:36,1/29/2018 0:00
85ce859fd6dc634de8d2f1e290444043,29,delivered,11/21/2017 0:03,11/21/2017 0:14,11/23/2017 21:32,11/27/2017 18:28,12/11/2017 0:00
83018ec114eee8641c97e08f7b4e926f,96,delivered,10/26/2017 15:54,10/26/2017 16:08,10/26/2017 21:46,11/8/2017 22:22,11/23/2017 0:00
203096f03d82e0dffbc41ebc2e2bcfb7,77,delivered,9/18/2017 14:31,9/19/2017 4:04,10/6/2017 17:50,10/9/2017 22:23,9/28/2017 0:00
f848643eec1d69395095eb3840d2051e,85,delivered,3/15/2018 8:52,3/15/2018 9:09,3/15/2018 19:52,3/19/2018 18:08,3/29/2018 0:00
2807d0e504d6d4894d41672727bc139f,33,delivered,2/3/2018 20:37,2/3/2018 20:50,2/5/2018 22:37,2/8/2018 16:13,2/21/2018 0:00
95266dbfb7e20354baba07964dac78d5,69,delivered,1/8/2018 7:55,1/8/2018 8:07,1/24/2018 23:16,1/26/2018 17:32,2/21/2018 0:00
f3e7c359154d965827355f39d6b1fdac,89,delivered,8/9/2018 11:44,8/10/2018 3:24,8/10/2018 12:29,8/13/2018 18:24,8/17/2018 0:00
fbf9ac61453ac646ce8ad9783d7d0af6,30,delivered,2/20/2018 23:46,2/22/2018 2:30,2/26/2018 22:25,3/21/2018 22:03,3/12/2018 0:00
acce194856392f074dbf9dada14d8d82,10,delivered,6/4/2018 0:00,6/5/2018 0:35,6/5/2018 13:24,6/16/2018 15:20,7/18/2018 0:00
dd78f560c270f1909639c11b925620ea,73,delivered,3/12/2018 1:50,3/12/2018 3:28,3/12/2018 21:06,3/21/2018 14:41,3/28/2018 0:00
