customer_id,zipcode,city,state_code,datetime_created,datetime_updated
1,14409,franca,SP,10/18/2017 0:00,10/18/2017 0:00
2,9790,sao bernardo do campo,SP,10/18/2017 0:00,10/18/2017 0:00
3,1151,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
4,8775,mogi das cruzes,SP,10/18/2017 0:00,10/18/2017 0:00
5,13056,campinas,SP,10/18/2017 0:00,10/18/2017 0:00
6,89254,jaragua do sul,SC,10/18/2017 0:00,10/18/2017 0:00
7,4534,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
8,35182,timoteo,MG,10/18/2017 0:00,10/18/2017 0:00
9,81560,curitiba,PR,10/18/2017 0:00,10/18/2017 0:00
10,30575,belo horizonte,MG,10/18/2017 0:00,10/18/2017 0:00
11,39400,montes claros,MG,10/18/2017 0:00,10/18/2017 0:00
12,20231,rio de janeiro,RJ,10/18/2017 0:00,10/18/2017 0:00
13,18682,lencois paulista,SP,10/18/2017 0:00,10/18/2017 0:00
14,5704,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
15,95110,caxias do sul,RS,10/18/2017 0:00,10/18/2017 0:00
16,13412,piracicaba,SP,10/18/2017 0:00,10/18/2017 0:00
17,22750,rio de janeiro,RJ,10/18/2017 0:00,10/18/2017 0:00
18,7124,guarulhos,SP,10/18/2017 0:00,10/18/2017 0:00
19,5416,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
20,68485,pacaja,PA,10/18/2017 0:00,10/18/2017 0:00
21,88034,florianopolis,SC,10/18/2017 0:00,10/18/2017 0:00
22,74914,aparecida de goiania,GO,10/18/2017 0:00,10/18/2017 0:00
23,5713,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
24,82820,curitiba,PR,10/18/2017 0:00,10/18/2017 0:00
25,8225,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
26,9121,santo andre,SP,10/18/2017 0:00,10/18/2017 0:00
27,74310,goiania,GO,10/18/2017 0:00,10/18/2017 0:00
28,4571,sao paulo,SP,10/18/2017 0:00,10/18/2017 0:00
29,29311,cachoeiro de itapemirim,ES,10/18/2017 0:00,10/18/2017 0:00
